Compound ID,MW,Stock (mM),Available (µL),Freeze-Thaw,Status,Solvent,LogP,Storage Temp,Container Type,Purity %,Expiry,Location
CMPD-2019,414.9,50,449,3,Warning,PBS,4.6,4C,Vial,94.1,8/3/2028,Refrigerator_C
CMPD-2020,609.9,100,139,6,Warning,Buffer,3.6,4C,Vial,96.5,1/14/2028,Refrigerator_C
CMPD-2021,313.5,50,430,1,Expired,PBS,3.1,4C,Vial,98.7,6/26/2026,Refrigerator_B
CMPD-2022,264.2,10,415,8,Warning,PBS,3.7,4C,Vial,94.2,8/2/2026,Refrigerator_A
CMPD-2023,436.1,50,384,4,Available,Methanol,3.4,4C,Vial,97.4,10/28/2027,Refrigerator_B
CMPD-2024,274.1,50,489,3,Expired,PBS,2.2,4C,Vial,94.6,6/17/2026,Refrigerator_B
CMPD-2025,544.1,20,329,2,Expired,DMSO,6.3,-20C,Vial,97.8,6/20/2026,PlateStore_A
CMPD-2026,302.2,50,225,6,Warning,Ethanol,5,-20C,Plate,96.7,11/17/2027,Freezer_A
CMPD-2027,561.8,20,177,5,Expired,Buffer,4.7,4C,Vial,94.6,6/9/2026,Refrigerator_B
CMPD-2028,294,100,363,3,Available,DMSO,5,4C,Vial,97.3,7/14/2028,Refrigerator_C
CMPD-2029,335.1,20,225,0,Available,Acetonitrile,6.1,-20C,Tube,96.1,1/1/2027,Freezer_B
CMPD-2030,365.2,100,210,7,Warning,Acetonitrile,6.5,-20C,Plate,96.8,9/27/2026,PlateStore_B
CMPD-2031,328.4,100,375,0,Warning,Buffer,1.6,4C,Vial,94.1,10/11/2026,Refrigerator_C
CMPD-2032,594.9,100,486,6,Warning,Acetonitrile,4.6,-20C,Plate,95.3,9/26/2026,Freezer_B
CMPD-2033,445.1,20,60,8,Warning,Ethanol,3.9,-20C,Plate,96.4,5/24/2027,PlateStore_B
CMPD-2034,440.3,100,357,3,Expired,Buffer,4.7,4C,Vial,94.6,2/2/2026,Refrigerator_A
CMPD-2035,534.9,100,299,7,Warning,Buffer,0.7,4C,Vial,99.9,12/28/2026,Refrigerator_A
CMPD-2036,505.1,20,280,5,Warning,DMSO,1.9,-20C,Plate,98.2,5/9/2027,PlateStore_B
CMPD-2037,420.2,20,49,6,Low Volume,Acetonitrile,3.6,-20C,Plate,99.2,1/4/2027,PlateStore_A
CMPD-2038,590.6,100,150,1,Expired,DMSO,4.4,-20C,Vial,96.2,2/14/2026,Freezer_A
CMPD-2039,556.5,100,394,3,Expired,Methanol,2.8,-20C,Tube,96.1,5/30/2026,Freezer_C
CMPD-2040,322.2,100,322,0,Available,Ethanol,4.6,4C,Vial,96.8,6/24/2027,Refrigerator_C
CMPD-2041,498.9,10,179,7,Warning,PBS,2.3,4C,Vial,96.1,9/22/2027,Refrigerator_C
CMPD-2042,264,10,211,7,Warning,Methanol,1.3,-20C,Plate,96.7,3/1/2028,Freezer_C
CMPD-2043,605.9,100,194,2,Available,Buffer,2.9,4C,Vial,96.3,9/20/2026,Refrigerator_B
CMPD-2044,579.1,20,484,7,Warning,Acetonitrile,0.8,-20C,Plate,99.8,6/29/2027,PlateStore_B
CMPD-2045,312,10,24,0,Low Volume,Methanol,1.5,-20C,Tube,97.4,2/29/2028,Freezer_B
CMPD-2046,300.7,100,54,3,Warning,Water,1.9,4C,Vial,94.5,1/5/2027,Refrigerator_A
CMPD-2047,644.7,100,168,8,Warning,Acetonitrile,2.4,-20C,Plate,94.9,9/9/2027,Freezer_B
CMPD-2048,691.1,10,347,6,Warning,Ethanol,2.6,-20C,Plate,99.8,7/18/2028,Freezer_C
CMPD-2049,293.7,100,312,4,Available,DMSO,3.4,4C,Vial,96.1,1/6/2027,Refrigerator_C
CMPD-2050,436.7,20,269,2,Expired,PBS,2.3,4C,Vial,96.8,5/20/2026,Refrigerator_B
CMPD-2051,670.7,20,13,8,Low Volume,DMSO,4.7,-20C,Plate,97.2,7/13/2027,Freezer_C
CMPD-2052,403,20,143,1,Available,Methanol,4.1,-20C,Vial,99.4,9/17/2027,Freezer_A
CMPD-2053,285.9,100,461,3,Warning,Ethanol,0.5,-20C,Tube,94.8,4/17/2027,Freezer_A
CMPD-2054,270.4,100,42,5,Low Volume,Ethanol,5.9,-20C,Plate,96.8,11/9/2027,PlateStore_A
CMPD-2055,652.3,10,323,3,Warning,Water,5.2,4C,Vial,94.9,5/25/2028,Refrigerator_C
CMPD-2056,619.6,20,376,0,Available,Ethanol,1.2,4C,Vial,97.4,12/29/2026,Refrigerator_A
CMPD-2057,409.8,10,486,7,Warning,Buffer,2.6,4C,Vial,99.3,8/24/2026,Refrigerator_C
CMPD-2058,315.3,10,184,4,Available,PBS,2.5,4C,Vial,97.2,10/8/2026,Refrigerator_B
CMPD-2059,668.5,20,172,8,Warning,Water,5.7,4C,Vial,98.8,8/10/2026,Refrigerator_C
CMPD-2060,413.6,20,415,5,Expired,Methanol,2.3,4C,Vial,97.2,4/4/2026,Refrigerator_C
CMPD-2061,699.8,100,324,2,Available,DMSO,1.5,-20C,Tube,98.2,6/16/2027,Freezer_C
CMPD-2062,398.7,10,250,0,Warning,Buffer,1.8,4C,Vial,94.6,11/9/2026,Refrigerator_C
CMPD-2063,583.6,20,48,5,Low Volume,DMSO,1,-20C,Plate,98.3,5/24/2028,Freezer_A
CMPD-2064,300.5,10,140,5,Expired,PBS,4.7,4C,Vial,96.2,6/22/2026,Refrigerator_B
CMPD-2065,303.7,50,157,8,Warning,Acetonitrile,5.5,-20C,Plate,99.8,9/16/2027,Freezer_C
CMPD-2066,350.7,50,400,4,Expired,Ethanol,3.8,-20C,Plate,96.8,2/7/2026,PlateStore_A
CMPD-2067,489,100,253,1,Available,Buffer,3.4,4C,Vial,98.8,5/4/2028,Refrigerator_B
CMPD-2068,425.6,20,432,7,Warning,PBS,5.6,4C,Vial,99.3,1/24/2027,Refrigerator_B
CMPD-2069,594.1,50,314,6,Warning,PBS,3.3,4C,Vial,98,4/20/2028,Refrigerator_C
CMPD-2070,623.9,20,269,3,Expired,PBS,4.2,4C,Vial,94.7,6/6/2026,Refrigerator_A
CMPD-2071,351.2,50,439,8,Warning,Buffer,4.4,4C,Vial,94.2,8/2/2027,Refrigerator_C
CMPD-2072,444,100,255,7,Expired,Buffer,3.5,4C,Vial,96.9,4/6/2026,Refrigerator_A
CMPD-2073,370.4,100,377,4,Available,Methanol,0.9,-20C,Plate,97.5,8/12/2027,PlateStore_B
CMPD-2074,335.5,10,324,5,Expired,Methanol,0.5,4C,Vial,95.6,6/21/2026,Refrigerator_B
CMPD-2075,257.1,50,173,1,Warning,Acetonitrile,3.1,-20C,Vial,95.8,9/2/2026,Freezer_C
CMPD-2076,655.2,100,254,1,Warning,PBS,6.5,4C,Vial,94.9,10/9/2026,Refrigerator_A
CMPD-2077,321.1,10,250,6,Warning,DMSO,2.8,4C,Vial,95.3,1/20/2027,Refrigerator_B
CMPD-2078,402.7,10,91,5,Warning,Methanol,3.8,-20C,Plate,94.1,4/30/2028,Freezer_B
CMPD-2079,564.6,10,288,3,Available,Acetonitrile,0.8,4C,Vial,99.2,1/16/2027,Refrigerator_A
CMPD-2080,451.9,10,128,3,Available,Ethanol,2.6,-20C,Tube,99.6,6/19/2027,Freezer_B
CMPD-2081,492.6,10,376,4,Warning,Buffer,3.5,4C,Vial,95.3,8/6/2026,Refrigerator_C
CMPD-2082,504.2,100,323,2,Expired,Acetonitrile,1.9,4C,Vial,95.5,7/11/2026,Refrigerator_A
CMPD-2083,404.4,50,495,3,Warning,Ethanol,5.9,-20C,Vial,94.5,4/16/2028,Freezer_C
CMPD-2084,300.6,100,440,7,Warning,Ethanol,0.4,-20C,Plate,99.2,4/12/2027,PlateStore_B
CMPD-2085,309.2,100,409,7,Warning,Water,6,4C,Vial,96.1,3/31/2027,Refrigerator_C
CMPD-2086,629.4,10,113,0,Expired,Acetonitrile,1.4,-20C,Vial,99.8,1/16/2026,Freezer_B
CMPD-2087,277.8,10,227,8,Expired,Methanol,4.2,4C,Vial,99.5,1/14/2026,Refrigerator_C
CMPD-2088,563.1,20,304,0,Available,Water,3.9,4C,Vial,96.2,4/21/2028,Refrigerator_C
CMPD-2089,686,50,479,0,Expired,Methanol,1.3,-20C,Vial,99.3,7/16/2026,Freezer_B
CMPD-2090,274.6,10,464,2,Available,PBS,3,4C,Vial,98.7,7/10/2027,Refrigerator_B
CMPD-2091,515.6,20,153,2,Available,Acetonitrile,2.2,-20C,Vial,99,11/29/2026,Freezer_B
CMPD-2092,496.2,20,258,0,Available,Water,2.6,4C,Vial,96.1,9/24/2027,Refrigerator_A
CMPD-2093,564.7,10,445,0,Available,PBS,1.5,4C,Vial,96.3,4/9/2027,Refrigerator_C
CMPD-2094,623.3,20,55,6,Expired,Acetonitrile,3.7,-20C,Plate,97.9,3/5/2026,Freezer_B
CMPD-2095,556.9,100,345,1,Warning,Ethanol,6,4C,Vial,94.6,8/7/2028,Refrigerator_A
CMPD-2096,262.1,20,333,8,Warning,Water,6.1,4C,Vial,97.2,6/7/2027,Refrigerator_B
CMPD-2097,528,10,154,8,Warning,Buffer,0.4,4C,Vial,96.8,7/26/2026,Refrigerator_A
CMPD-2098,507.5,50,313,5,Warning,DMSO,5,-20C,Plate,94.7,7/30/2026,PlateStore_B
CMPD-2099,543.5,50,403,5,Warning,Acetonitrile,3.4,4C,Vial,95.8,12/4/2026,Refrigerator_B
CMPD-2100,490.9,10,437,2,Warning,Methanol,6.5,4C,Vial,95.1,7/2/2028,Refrigerator_C
CMPD-3001,425.52,10,160,1,Available,DMSO,3.4,-20C,Tube,98.5,5/1/2028,Freezer_A_Box01_A01
CMPD-3001,425.52,10,95,0,Available,DMSO,3.4,-20C,Tube,98.5,5/1/2028,Freezer_A_Box01_A02
CMPD-3001,425.52,20,220,2,Available,DMSO,3.4,-20C,Plate,98.3,8/15/2028,PlateStore_A_Row01
CMPD-3002,512.61,30,210,3,Available,DMSO,4.7,-20C,Tube,99.1,10/12/2027,Freezer_B_Box03_B05
CMPD-3002,512.61,30,185,1,Available,DMSO,4.7,-20C,Tube,99,10/12/2027,Freezer_B_Box03_B06
CMPD-3002,512.61,50,300,0,Available,DMSO,4.7,-20C,Plate,98.9,1/20/2029,PlateStore_B_Row04
CMPD-3003,318.4,5,140,2,Available,Methanol,2.2,4C,Vial,97.8,12/20/2027,Refrigerator_A_Rack02
CMPD-3003,318.4,5,80,1,Available,Methanol,2.2,4C,Vial,97.8,12/20/2027,Refrigerator_A_Rack03
CMPD-3003,318.4,10,155,0,Available,Methanol,2.2,4C,Tube,98,4/11/2028,Refrigerator_B_Rack01
CMPD-3004,689.73,20,300,1,Available,Ethanol,5.8,-20C,Tube,99.4,1/5/2029,Freezer_C_Box07_C01
CMPD-3004,689.73,20,180,2,Available,Ethanol,5.8,-20C,Tube,99.4,1/5/2029,Freezer_C_Box07_C02
CMPD-3004,689.73,50,260,0,Available,Ethanol,5.8,-20C,Plate,99.2,3/15/2029,PlateStore_B_Row09
CMPD-3005,401.44,10,220,2,Available,Acetonitrile,3.1,4C,Vial,98.9,8/15/2028,Refrigerator_C_Rack04
CMPD-3005,401.44,10,150,1,Available,Acetonitrile,3.1,4C,Vial,98.9,8/15/2028,Refrigerator_C_Rack05
CMPD-3005,401.44,20,250,0,Available,Acetonitrile,3.1,-20C,Tube,99,2/17/2029,Freezer_A_Box08_D03
CMPD-3006,276.31,2,95,0,Available,PBS,1.5,4C,Vial,97.2,9/30/2027,Refrigerator_A_Rack07
CMPD-3006,276.31,2,110,1,Available,PBS,1.5,4C,Vial,97.2,9/30/2027,Refrigerator_A_Rack08
CMPD-3006,276.31,5,145,0,Available,PBS,1.5,4C,Plate,97.5,6/30/2028,PlateStore_A_Row12
CMPD-3007,355.49,15,260,2,Available,Water,0.7,4C,Tube,99,2/11/2028,Refrigerator_B_Rack09
CMPD-3007,355.49,15,240,0,Available,Water,0.7,4C,Tube,99,2/11/2028,Refrigerator_B_Rack10
CMPD-3007,355.49,25,310,1,Available,Water,0.7,4C,Plate,99.1,10/5/2028,PlateStore_A_Row15
CMPD-3008,598.72,25,175,4,Available,Buffer,5,4C,Tube,98.7,11/19/2028,Refrigerator_C_Rack11
CMPD-3008,598.72,25,120,2,Available,Buffer,5,4C,Tube,98.7,11/19/2028,Refrigerator_C_Rack12
CMPD-3008,598.72,50,275,1,Available,Buffer,5,4C,Plate,98.6,7/22/2029,PlateStore_C_Row03
